AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
42896.33,42064.844,-37692.797,-39835.3,-39115.53,53444.496,52518.062,52229.164,10396.933994026394
42939.42,42126.29,-38170.52,-40697.184,-39704.05,53437.14,52519.895,52228.113,10396.938017393359
43008.043,42171.504,-38308.23,-40980.516,-40094.113,53430.527,52523.516,52228.496,10396.942040760323
43003.395,42129.93,-37970.047,-40466.74,-39593.633,53438.125,52527.0,52232.72,10396.946064127287
42939.47,42064.688,-37483.586,-39833.266,-39006.543,53442.64,52521.547,52231.2,10396.950087494251
42905.492,42070.543,-37764.727,-39914.27,-39109.832,53440.52,52516.562,52227.758,10396.954110861216
42948.117,42137.17,-38225.64,-40424.473,-39706.375,53432.695,52517.523,52225.945,10396.95813422818
43017.473,42183.4,-38366.68,-40702.01,-40103.188,53425.387,52521.1,52225.945,10396.962157595144
43014.367,42138.87,-37997.875,-40194.336,-39608.117,53433.188,52524.902,52230.55,10396.966180962108
42947.11,42070.656,-37541.05,-39568.758,-39024.715,53439.535,52521.3,52231.02,10396.970204329073
42908.934,42071.973,-37813.562,-39650.074,-39129.633,53438.707,52517.277,52228.336,10396.974227696037
42946.664,42135.477,-38250.117,-40162.31,-39726.18,53429.52,52516.92,52225.59,10396.978251063001
43016.133,42184.69,-38409.37,-40441.77,-40124.51,53422.21,52520.027,52225.766,10396.982274429965
43010.547,42138.938,-38052.66,-39927.01,-39638.16,53428.805,52522.62,52229.613,10396.98629779693
42944.094,42073.09,-37544.27,-39254.223,-39029.992,53434.64,52518.484,52229.543,10396.990321163894
42910.344,42078.926,-37719.17,-39819.676,-39106.21,53432.65,52513.145,52225.5,10396.994344530858
42945.66,42137.152,-38171.66,-40669.246,-39683.734,53424.336,52512.875,52222.617,10396.998367897822
43010.95,42179.395,-38329.8,-40970.457,-40092.28,53418.39,52517.3,52223.89,10397.002391264787
43005.85,42135.496,-38009.855,-40479.367,-39614.58,53423.04,52518.285,52225.164,10397.00641463175
42941.59,42067.055,-37526.32,-39841.336,-39015.797,53430.816,52515.668,52226.617,10397.010437998715
42906.676,42068.062,-37781.133,-39903.742,-39102.23,53430.348,52512.316,52224.72,10397.01446136568
42944.742,42127.25,-38235.027,-40412.47,-39689.145,53421.785,52512.45,52221.79,10397.018484732644
43011.484,42173.85,-38396.652,-40709.812,-40103.812,53412.69,52513.836,52219.754,10397.022508099608
43004.934,42131.473,-38053.105,-40225.586,-39630.09,53418.523,52515.492,52222.305,10397.026531466572
42931.42,42060.844,-37570.758,-39580.56,-39014.254,53424.38,52510.574,52221.92,10397.030554833536
42896.527,42064.285,-37805.34,-39641.8,-39108.156,53423.977,52506.504,52219.242,10397.0345782005
42938.574,42128.926,-38218.688,-40150.906,-39693.902,53415.19,52506.84,52216.336,10397.038601567465
43011.82,42178.992,-38400.723,-40449.527,-40109.805,53408.777,52511.266,52217.496,10397.04262493443
43009.54,42138.047,-38046.96,-39948.176,-39636.863,53416.938,52515.402,52222.93,10397.046648301393
42945.5,42071.37,-37528.98,-39249.082,-39024.023,53423.44,52511.043,52222.48,10397.050671668358
42907.168,42073.0,-37684.66,-39769.34,-39091.434,53419.305,52503.31,52216.023,10397.054695035322
42937.12,42129.598,-38150.07,-40645.797,-39666.367,53412.31,52504.137,52214.188,10397.058718402286
43008.58,42178.59,-38314.938,-40968.715,-40089.73,53405.516,52508.582,52214.637,10397.06274176925
43006.32,42137.62,-38006.95,-40502.547,-39633.8,53413.094,52513.168,52219.44,10397.066765136215
42939.4,42068.62,-37519.324,-39862.613,-39023.844,53419.33,52507.938,52218.75,10397.070788503179
42901.715,42066.92,-37758.445,-39914.047,-39097.0,53417.16,52501.832,52214.234,10397.074811870143
42939.242,42129.24,-38211.67,-40414.234,-39670.344,53408.688,52502.01,52211.527,10397.078835237107
43013.562,42183.082,-38379.824,-40725.773,-40096.547,53400.082,52504.203,52210.523,10397.082858604072
43014.254,42144.37,-38052.703,-40267.875,-39647.12,53406.97,52506.906,52214.188,10397.086881971036
42949.324,42077.18,-37567.473,-39624.145,-39016.47,53415.46,52504.94,52216.445,10397.090905338
42914.297,42081.113,-37783.656,-39664.89,-39070.83,53413.918,52500.18,52212.914,10397.094928704964
42948.742,42140.39,-38218.49,-40175.27,-39653.047,53407.125,52501.32,52211.24,10397.098952071929
43017.742,42190.727,-38402.734,-40500.332,-40090.78,53400.31,52505.32,52211.598,10397.102975438893
43014.254,42151.547,-38052.906,-40043.688,-39649.246,53404.82,52505.88,52212.824,10397.106998805857
42948.406,42084.625,-37540.625,-39321.77,-39026.19,53413.406,52503.04,52214.547,10397.111022172821
42910.434,42080.043,-37681.062,-39738.25,-39071.117,53411.305,52496.96,52209.9,10397.115045539786
42947.51,42139.23,-38150.406,-40624.387,-39637.266,53404.285,52497.496,52207.664,10397.11906890675
43017.766,42190.953,-38317.125,-40969.004,-40076.434,53396.844,52500.94,52207.84,10397.123092273714
43014.457,42148.996,-38004.805,-40516.516,-39634.45,53403.01,52503.51,52210.836,10397.127115640678
42947.223,42076.934,-37499.88,-39865.59,-39021.832,53411.035,52499.98,52211.44,10397.131139007643
42907.46,42074.88,-37720.2,-39902.043,-39085.445,53410.03,52495.105,52208.066,10397.135162374607
42945.95,42136.145,-38203.805,-40411.305,-39657.0,53404.13,52497.387,52207.33,10397.139185741571
