Routine,Problem ID,Stimuli,Idea generation/Reaction time,Additional info/Feedback question,Total/Feedback answer,timestamp
Wordset 2,6,Cntrl,,Total ideas generated,7,274283.8731186515
Feedback,6,Cntrl,,,,274283.90777555143
Feedback answer,6,Cntrl,,useful,1,274287.10647894134
Feedback,6,Cntrl,,,,274287.12870634126
Feedback answer,6,Cntrl,,relevant,1,274288.93596723565
Feedback,6,Cntrl,,,,274288.9637674355
Feedback answer,6,Cntrl,,novelty,4,274293.0011379228
Feedback,6,Cntrl,,,,274293.0320867228
Feedback answer,6,Cntrl,,quality,3,274296.16461581294
One-back initialize,6,Cntrl,,,,274296.16603651294
One-back reaction time,6,Cntrl,0.4853629666613415,,,274304.64075778634
One-back reaction time,6,Cntrl,0.6552616666303948,,,274311.54924146464
Problem statement,7,Far,,,,274325.9422979195
Crosshair,7,Far,,,,274332.9324645975
Wordset 1,7,Far,,,,274334.1450728937
Idea generated,7,Far,2.7996162333874963,,,274336.95321558486
Idea generated,7,Far,8.149149233358912,,,274342.3027432681
Idea generated,7,Far,11.747878733382095,,,274345.90147115674
Idea generated,7,Far,15.253600133350119,,,274349.40716054576
Idea generated,7,Far,21.410722233355045,,,274355.56430872646
Idea generated,7,Far,38.55937103333417,,,274372.71293887263
Wordset 1,7,Far,,Total ideas generated,6,274394.1530139053
One-back initialize,7,Far,,,,274394.1530476053
One-back reaction time,7,Far,0.5744902666192502,,,274402.7087099785
One-back reaction time,7,Far,0.5601035667350516,,,274413.53399964445
One-back reaction time,7,Far,0.5755297666764818,,,274418.36376552936
One-back reaction time,7,Far,0.4891404666705057,,,274419.09482462704
One-back reaction time,7,Far,0.5719729666598141,,,274421.9077760182
Wordset 2,7,Far,,,,274423.8984446119
Idea generated,7,Far,2.6056661000475287,,,274426.5137507037
Idea generated,7,Far,11.292716700059827,,,274435.2007715765
Idea generated,7,Far,23.04067070002202,,,274446.9487411396
Idea generated,7,Far,35.58745890005957,,,274459.4955068002
Wordset 2,7,Far,,Total ideas generated,4,274483.9109437236
Feedback,7,Far,,,,274483.9405756235
Feedback answer,7,Far,,useful,3,274487.3388042128
Feedback,7,Far,,,,274487.36101391277
Feedback answer,7,Far,,relevant,2,274491.4873678998
Feedback,7,Far,,,,274491.52280189964
Feedback answer,7,Far,,novelty,3,274498.3646156782
Feedback,7,Far,,,,274498.3938186781
Feedback answer,7,Far,,quality,2,274501.4763183684
One-back initialize,7,Far,,,,274501.4779502684
One-back reaction time,7,Far,0.5891402666456997,,,274518.9144231137
Problem statement,8,Cntrl,,,,274531.243252275
Crosshair,8,Cntrl,,,,274538.246555453
Wordset 1,8,Cntrl,,,,274539.56626984884
Idea generated,8,Cntrl,3.4145210332935676,,,274542.98554523813
Idea generated,8,Cntrl,4.294714233314153,,,274543.86570523534
Idea generated,8,Cntrl,11.683356933295727,,,274551.2543969122
Idea generated,8,Cntrl,17.365765233291313,,,274556.93679549434
Idea generated,8,Cntrl,55.87293963332195,,,274595.44399087346
Wordset 1,8,Cntrl,,Total ideas generated,5,274599.5847374605
One-back initialize,8,Cntrl,,,,274599.58475726045
One-back reaction time,8,Cntrl,0.7077183666406199,,,274608.2745178332
One-back reaction time,8,Cntrl,0.5076909666531719,,,274611.02223572455
One-back reaction time,8,Cntrl,0.5399956666515209,,,274613.8035771158
One-back reaction time,8,Cntrl,0.5230276666698046,,,274616.5843322071
One-back reaction time,8,Cntrl,0.5579705667332746,,,274623.41213338566
Wordset 2,8,Cntrl,,,,274629.3417192671
Idea generated,8,Cntrl,7.331667133315932,,,274636.69966024393
Idea generated,8,Cntrl,9.469882133300416,,,274638.8378597373
Idea generated,8,Cntrl,48.91909363330342,,,274678.28709481336
Idea generated,8,Cntrl,55.45689783326816,,,274684.8248363929
Wordset 2,8,Cntrl,,Total ideas generated,4,274689.3659314786
Feedback,8,Cntrl,,,,274689.39471747854
Feedback answer,8,Cntrl,,useful,1,274692.70529406815
Feedback,8,Cntrl,,,,274692.7257576681
Feedback answer,8,Cntrl,,relevant,2,274695.74963275855
Feedback,8,Cntrl,,,,274695.7726390585
Feedback answer,8,Cntrl,,novelty,5,274698.7830878491
Feedback,8,Cntrl,,,,274698.810852149
Feedback answer,8,Cntrl,,quality,4,274699.9160399455
One-back initialize,8,Cntrl,,,,274699.9176865455
One-back reaction time,8,Cntrl,0.6244687666767277,,,274708.53901691845
One-back reaction time,8,Cntrl,0.47459306666860357,,,274711.2538453099
One-back reaction time,8,Cntrl,0.6900312665966339,,,274712.186071207
One-back reaction time,8,Cntrl,0.4745221667108126,,,274712.9027813047
One-back reaction time,8,Cntrl,0.4701809666585177,,,274717.6318355899
One-back reaction time,8,Cntrl,0.440415266668424,,,274718.31472078775
One-back reaction time,8,Cntrl,0.4265285666915588,,,274718.9834956857
One-back reaction time,8,Cntrl,0.537591666681692,,,274723.7774206706
One-back reaction time,8,Cntrl,0.4262936667073518,,,274724.4457849685
Problem statement,9,Near,,,,274729.700576552
Crosshair,9,Near,,,,274736.6816547301
Wordset 1,9,Near,,,,274737.50140182755
Idea generated,9,Near,3.52067383332178,,,274741.03297201643
Idea generated,9,Near,5.303632133349311,,,274742.81589631084
Idea generated,9,Near,8.50072903331602,,,274746.0130045008
Idea generated,9,Near,11.496448233316187,,,274749.0087458914
Idea generated,9,Near,13.566911833360791,,,274751.07920588495
Idea generated,9,Near,17.03922883333871,,,274754.55155727395
Idea generated,9,Near,22.433761133346707,,,274759.94606045703
Idea generated,9,Near,38.92555423331214,,,274776.4378331053
Wordset 1,9,Near,,Total ideas generated,8,274797.49222913926
One-back initialize,9,Near,,,,274797.49225163925
One-back reaction time,9,Near,0.48596386663848534,,,274805.9585212126
One-back reaction time,9,Near,0.44200426671886817,,,274808.6405406042
One-back reaction time,9,Near,0.5071712667122483,,,274819.4326361703
One-back reaction time,9,Near,0.4576137666590512,,,274820.1315914682
One-back reaction time,9,Near,0.44279096665559337,,,274820.815220766
One-back reaction time,9,Near,0.45853126666042954,,,274821.5152171638
One-back reaction time,9,Near,0.4719186666770838,,,274822.2295914616
One-back reaction time,9,Near,0.7218663666280918,,,274825.1930743523
Wordset 2,9,Near,,,,274827.2499654458
Idea generated,9,Near,4.358301433327142,,,274831.633045232
Idea generated,9,Near,12.9464374333038,,,274840.2211307051
Idea generated,9,Near,15.576753233326599,,,274842.8514853968
Idea generated,9,Near,39.096742933325004,,,274866.371439723
Idea generated,9,Near,44.740353933302686,,,274872.0150679053
Idea generated,9,Near,52.315584933327045,,,274879.5902885815
Wordset 2,9,Near,,Total ideas generated,6,274887.2655997574
Feedback,9,Near,,,,274887.29863115726
Feedback answer,9,Near,,useful,5,274890.65652644675
Feedback,9,Near,,,,274890.6773892467
Feedback answer,9,Near,,relevant,5,274892.92365573964
Feedback,9,Near,,,,274892.9499546396
Feedback answer,9,Near,,novelty,5,274894.6866207341
Feedback,9,Near,,,,274894.718062934
Feedback answer,9,Near,,quality,5,274896.93688022706
One-back initialize,9,Near,,,,274896.9386868271
One-back reaction time,9,Near,0.5062160666566342,,,274905.4299277004
One-back reaction time,9,Near,0.5073682666989043,,,274914.2229560728
One-back reaction time,9,Near,0.47690226667327806,,,274920.98428645154
Problem statement,10,Cntrl,,,,274926.69979453366
Crosshair,10,Cntrl,,,,274933.7035874116
Wordset 1,10,Cntrl,,,,274935.30857610656
Idea generated,10,Cntrl,0.8865966333542019,,,274936.19736520376
Idea generated,10,Cntrl,6.506781833362766,,,274941.81753898616
Idea generated,10,Cntrl,7.427425833360758,,,274942.7381604833
Idea generated,10,Cntrl,8.29611763334833,,,274943.60688258056
Idea generated,10,Cntrl,15.563747733365744,,,274950.8744934577
Idea generated,10,Cntrl,18.505554833333008,,,274953.8163215485
Idea generated,10,Cntrl,28.206477033381816,,,274963.51721491804
Idea generated,10,Cntrl,33.02984403335722,,,274968.3406133029
Idea generated,10,Cntrl,37.79856443335302,,,274973.10932018794
Idea generated,10,Cntrl,42.64766073337523,,,274977.9584222727
Idea generated,10,Cntrl,53.46686763333855,,,274988.77760263876
Wordset 1,10,Cntrl,,Total ideas generated,11,274995.33064831817
One-back initialize,10,Cntrl,,,,274995.33066871815
One-back reaction time,10,Cntrl,0.7052959667053074,,,275006.0114580846
One-back reaction time,10,Cntrl,0.4929701666114852,,,275006.74610038236
One-back reaction time,10,Cntrl,0.47556826670188457,,,275009.4606395738
One-back reaction time,10,Cntrl,0.47249046666547656,,,275010.1748357716
One-back reaction time,10,Cntrl,0.5566702666692436,,,275017.0052109501
One-back reaction time,10,Cntrl,0.4902259666705504,,,275017.73827554786
One-back reaction time,10,Cntrl,0.6741162666585296,,,275022.66426523234
One-back reaction time,10,Cntrl,0.5427707666531205,,,275023.4480802299
One-back reaction time,10,Cntrl,0.47430426662322134,,,275024.16462032765
Wordset 2,10,Cntrl,,,,275025.0858974248
Idea generated,10,Cntrl,6.707705600012559,,,275031.80894470366
Idea generated,10,Cntrl,10.861797499994282,,,275035.9630533906
Idea generated,10,Cntrl,25.245118400023784,,,275050.34642284544
Idea generated,10,Cntrl,31.69324150000466,,,275056.7944700252
Idea generated,10,Cntrl,36.78992120001931,,,275061.89116210927
Wordset 2,10,Cntrl,,Total ideas generated,5,275085.08551043645
Feedback,10,Cntrl,,,,275085.1203417363
Feedback answer,10,Cntrl,,useful,1,275093.4227276102
Feedback,10,Cntrl,,,,275093.4462931102
Feedback answer,10,Cntrl,,relevant,2,275097.3543772979
Feedback,10,Cntrl,,,,275097.3801941978
Feedback answer,10,Cntrl,,novelty,5,275099.32153729175
Feedback,10,Cntrl,,,,275099.34971749166
Feedback answer,10,Cntrl,,quality,4,275101.55428748473
One-back initialize,10,Cntrl,,,,275101.5562284847
One-back reaction time,10,Cntrl,0.5024871666682884,,,275110.04353775806
