AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
44144.426,43630.67,32368.277,-30641.604,57381.4,44975.824,44320.312,45427.527,11421.701040802527
44150.73,43652.152,31742.473,-31480.89,57380.48,44965.184,44315.215,45421.227,11421.70503417085
44201.715,43716.504,30856.025,-32962.99,57346.04,44945.066,44332.85,45420.934,11421.709027539171
44230.86,43739.77,30839.26,-33258.03,57322.613,44940.125,44348.188,45425.605,11421.713020907493
44194.203,43685.254,31781.7,-31939.994,57345.39,44957.137,44339.96,45428.938,11421.717014275815
44144.25,43630.113,32363.047,-30650.365,57386.605,44973.9,44320.0,45427.195,11421.721007644137
44150.977,43651.93,31728.145,-31502.727,57385.957,44964.266,44315.375,45421.383,11421.725001012459
44201.87,43716.727,30830.611,-32990.594,57350.24,44943.727,44332.652,45420.668,11421.728994380781
44229.766,43738.965,30812.572,-33300.12,57324.402,44936.977,44346.555,45423.33,11421.732987749103
44196.395,43687.848,31762.275,-31983.111,57350.4,44957.582,44342.04,45429.855,11421.736981117425
44145.812,43631.59,32371.607,-30653.74,57392.664,44975.375,44322.258,45429.004,11421.740974485747
44152.05,43652.44,31765.047,-31453.24,57394.094,44967.13,44317.72,45423.84,11421.744967854067
44203.84,43717.754,30875.582,-32921.46,57361.46,44948.49,44336.004,45424.58,11421.748961222389
44232.27,43740.49,30851.018,-33209.707,57337.23,44942.25,44350.355,45427.863,11421.752954590711
44197.246,43687.58,31797.078,-31867.508,57361.66,44960.29,44343.18,45432.023,11421.756947959033
44146.33,43631.164,32412.846,-30571.195,57404.332,44977.59,44322.86,45430.57,11421.760941327355
44151.42,43651.08,31808.477,-31369.197,57405.695,44968.402,44317.34,45424.58,11421.764934695677
44202.9,43716.457,30908.35,-32870.297,57373.285,44949.516,44335.086,45425.27,11421.768928063999
44233.254,43741.312,30866.508,-33178.348,57350.285,44944.62,44350.176,45429.676,11421.77292143232
44198.004,43688.137,31802.867,-31841.826,57374.113,44962.367,44341.973,45432.938,11421.776914800643
44143.824,43628.39,32418.479,-30530.672,57414.613,44977.543,44319.105,45429.004,11421.780908168965
44147.914,43646.88,31818.424,-31310.3,57416.355,44968.445,44312.938,45422.523,11421.784901537287
44197.402,43710.38,30914.832,-32826.91,57382.54,44948.04,44328.67,45421.18,11421.788894905609
44227.375,43735.3,30854.17,-33164.2,57358.31,44942.227,44343.38,45424.824,11421.79288827393
44194.113,43684.45,31776.268,-31857.137,57382.16,44960.758,44336.63,45429.207,11421.796881642253
44143.22,43627.79,32392.506,-30563.082,57424.74,44978.215,44316.2,45427.598,11421.800875010575
44147.734,43646.92,31793.523,-31354.67,57426.84,44969.61,44311.574,45422.03,11421.804868378897
44197.914,43711.316,30887.184,-32864.863,57392.863,44949.133,44328.562,45420.934,11421.808861747217
44227.867,43736.26,30828.756,-33205.19,57367.16,44941.938,44343.582,45423.93,11421.812855115539
44193.938,43684.94,31762.008,-31896.7,57390.07,44959.438,44337.055,45428.086,11421.81684848386
44140.473,43625.44,32396.506,-30559.037,57431.375,44975.04,44315.44,45424.957,11421.820841852183
44142.93,43642.43,31811.383,-31313.877,57432.785,44965.004,44308.78,45417.56,11421.824835220505
44194.742,43708.254,30909.2,-32823.76,57401.426,44946.207,44327.44,45418.7,11421.828828588827
44227.8,43736.53,30844.826,-33159.906,57379.676,44942.117,44345.773,45425.094,11421.832821957149
44193.355,43684.496,31770.21,-31846.52,57402.164,44958.613,44338.688,45428.312,11421.83681532547
44140.27,43624.93,32409.068,-30513.328,57444.496,44974.93,44317.316,45425.605,11421.840808693792
44141.656,43640.73,31832.639,-31252.5,57445.594,44964.402,44309.76,45417.76,11421.844802062114
44190.54,43703.63,30926.723,-32784.734,57411.33,44942.832,44324.715,45415.438,11421.848795430436
44222.793,43730.875,30841.562,-33156.62,57386.83,44936.37,44340.273,45419.06,11421.852788798758
44191.77,43682.484,31751.57,-31870.727,57410.41,44954.855,44335.2,45424.062,11421.85678216708
44139.844,43624.906,32392.572,-30545.156,57453.973,44973.41,44315.664,45423.574,11421.860775535402
44140.516,43640.305,31811.54,-31288.889,57455.965,44964.176,44308.242,45416.49,11421.864768903724
44189.645,43703.83,30901.71,-32801.9,57421.652,44942.855,44323.82,45414.812,11421.868762272046
44221.316,43730.785,30815.857,-33173.05,57395.727,44935.457,44339.355,45417.805,11421.872755640366
44187.97,43679.848,31728.928,-31896.967,57416.58,44951.793,44332.473,45420.62,11421.876749008688
44138.234,43623.406,32384.191,-30537.379,57461.953,44972.023,44314.41,45421.336,11421.88074237701
